VoiceIndexName,,,,,
,,,,,
#ID,BG,Char,Name,Message,VoiceID
1,1,1,フランツ,そういえば、キミはどうやってこの世界に来たの？,
2,1,1,user,信じてもらえないと思うけど\n外を散歩していたら急に落ちる感覚に襲われて……,
3,1,1,user,女の人の声で目が覚めたらここに居たの……\n見たことない景色だったからびっくりしちゃった。,
4,1,2,フランツ,目が覚めたら急にここに居てびっくりした、か……\nあはは、そうだよね！　私もびっくりだよ,
5,1,1,フランツ,でも確かに、私もそんな綺麗な体をした人を見るのはギヨーム様たちを除いて初めて……,
6,1,1,user,そうなのね……\nじゃあ、次はこの世界について教えて？,
7,1,1,フランツ,この世界について……？\nカンタービレっていう名前の「楽園都市」なんだ,
8,1,1,フランツ,カンタービレはね、ギヨーム様と、その部下\n『九色の声』の9人のお方が当時しているの,
9,1,1,フランツ,キミの世界があるならさ、ここよりもっと上空に\n空飛ぶ島でもあるのかな？,
10,1,1,フランツ,あっ、ごめんね\n関係ないこと言っちゃったね,
11,1,1,user,なるほどね\nそれで今向かっている演奏会って何なの？,
12,1,1,フランツ,演奏会？　演奏会は演奏会、\nギヨーム様たちが私たちに演奏を聞かせてくれるの,
13,1,1,フランツ,1週間に1回しかないから、皆いつも楽しみなんだ\n私たちは自由に演奏できないから……,
14,0,9,???,これがカンタビーレの現状よ……\nあなたの歌で私たちに自由をくれる日を待ってるわ,
15,0,7,エリック,私の名前は……エリック\n忘れないでね……,
